word,male,male_ratio,female,female_ratio,female_male_ratio
path,425,0.0118619,302,0.012522287,1.055673006
motiv,463,0.012922493,329,0.013641829,1.055665456
orient,372,0.010382651,264,0.010946635,1.054319868
happen,1211,0.033799436,859,0.035618029,1.053805411
serious,3010,0.084010159,2133,0.088443836,1.052775485
fortun,432,0.012057272,306,0.012688145,1.05232305
told,1003,0.027994083,710,0.029439814,1.051644172
sincer,434,0.012113093,307,0.01272961,1.050896752
way,5350,0.149320383,3780,0.156735912,1.04966187
hill,368,0.01027101,260,0.010780777,1.049631687
mani,3551,0.09910966,2507,0.103951569,1.048854064
most,1282,0.035781071,905,0.037525397,1.048749961
add,423,0.011806079,298,0.012356429,1.046615833
big,2893,0.080744648,2038,0.084504706,1.046567273
area,4746,0.13246253,3343,0.138615914,1.046453769
havent,935,0.026096179,658,0.027283659,1.04550397
romant,1170,0.032655112,823,0.034125306,1.045021865
high,1651,0.046079991,1161,0.048140316,1.04471192
york,714,0.019927991,502,0.020815193,1.044520358
match,595,0.016606659,418,0.017332172,1.043688071
taken,487,0.013592341,342,0.014180868,1.043298417
special,1116,0.031147953,783,0.032466725,1.042338961
age,871,0.024309917,611,0.025334826,1.042160141
without,1533,0.04278657,1075,0.044574367,1.041784072
amount,431,0.012029362,302,0.012522287,1.040976862
four,443,0.012364286,310,0.012854003,1.039607422
weekend,1264,0.035278685,884,0.036654642,1.039002505
young,754,0.021044405,527,0.021851806,1.038366511
pretti,5501,0.153534846,3844,0.159389642,1.038133337
mind,2867,0.080018979,2003,0.083053448,1.037921863
hold,874,0.024393648,610,0.025293362,1.036883124
ladi,678,0.018923219,473,0.019612721,1.036436862
join,496,0.013843535,346,0.014346726,1.036348507
hear,843,0.023528427,588,0.024381142,1.036241915
somewher,520,0.014513383,362,0.015010159,1.034228808
meet,6437,0.179658936,4480,0.185761081,1.033965168
expect,798,0.022272461,555,0.023012813,1.033240677
left,781,0.021797985,543,0.022515238,1.032904571
major,747,0.020849033,519,0.02152009,1.032186465
stori,1293,0.036088085,898,0.037235145,1.031785013
blue,432,0.012057272,300,0.012439358,1.031689265
wait,693,0.019341874,481,0.019944438,1.031153322
photographi,805,0.022467833,558,0.023137206,1.029792495
process,391,0.010912948,271,0.011236887,1.029683935
much,6753,0.188478607,4680,0.194053987,1.029580971
year,9988,0.278768595,6919,0.286893063,1.029144128
difficult,423,0.011806079,293,0.012149106,1.029055165
leav,885,0.024700661,613,0.025417755,1.029031354
messag,1307,0.03647883,905,0.037525397,1.028689709
collect,419,0.011694437,290,0.012024713,1.028242093
within,422,0.011778169,292,0.012107642,1.027973228
attend,490,0.013676072,339,0.014056475,1.027815166
entir,399,0.01113623,276,0.011444209,1.027655593
think,7472,0.20854615,5166,0.214205747,1.027138344
hard,3037,0.084763739,2099,0.087034042,1.0267839
pictur,797,0.022244551,550,0.02280549,1.025216936
wont,915,0.025537972,631,0.026164117,1.024518179
quick,689,0.019230232,475,0.01969565,1.024202405
level,482,0.01345279,332,0.013766223,1.023298763
hang,2401,0.067012755,1652,0.068499399,1.022184489
know,9737,0.271763097,6699,0.277770867,1.022106644
ass,419,0.011694437,288,0.011941784,1.021150768
etc,1326,0.037009127,911,0.037774184,1.020672131
tri,9221,0.257361355,6329,0.262428992,1.019690744
varieti,446,0.012448017,306,0.012688145,1.019290488
listen,2199,0.061374864,1508,0.062528507,1.018796668
far,1676,0.04677775,1149,0.047642742,1.018491522
imagin,572,0.015964721,392,0.016254095,1.018125798
america,467,0.013034134,320,0.013268649,1.01799232
artist,1267,0.035362416,868,0.03599121,1.01778141
one,8812,0.245946021,6035,0.250238421,1.017452609
get,12113,0.338078093,8294,0.343906788,1.017240675
simpl,1240,0.034608836,849,0.035203384,1.017179055
say,5347,0.149236652,3660,0.151760169,1.016909501
respons,586,0.016355466,401,0.016627275,1.016618855
west,645,0.018002177,441,0.018285856,1.015758063
student,897,0.025035586,613,0.025417755,1.015265048
arent,423,0.011806079,289,0.011983248,1.01500663
word,1791,0.04998744,1223,0.050711117,1.014477163
never,3338,0.093164755,2279,0.094497657,1.014306939
mix,602,0.016802032,411,0.017041921,1.014277366
two,2484,0.069329314,1695,0.070282373,1.013746843
writer,406,0.011331603,277,0.011485674,1.013596586
differ,2480,0.069217673,1691,0.070116515,1.012985737
search,509,0.014206369,347,0.014388191,1.012798609
sound,1174,0.032766753,800,0.033171622,1.012356076
ski,894,0.024951855,609,0.025251897,1.012024852
said,1295,0.036143906,882,0.036571713,1.011836217
board,608,0.016969494,414,0.017166314,1.011598474
els,1707,0.047642971,1162,0.04818178,1.011309322
like,27933,0.779619861,19007,0.788116267,1.010898139
drink,2146,0.059895615,1460,0.06053821,1.01072857
lie,459,0.012810852,312,0.012936932,1.009841728
first,2778,0.077534958,1887,0.078243563,1.009139167
tend,1836,0.051243406,1247,0.051706265,1.009032559
god,430,0.012001451,292,0.012107642,1.008848144
realiz,754,0.021044405,512,0.021229838,1.008811487
ultim,364,0.010159368,247,0.010241738,1.008107796
french,429,0.011973541,291,0.012066177,1.007736759
stop,863,0.024086634,585,0.024256748,1.007062615
beat,375,0.010466382,254,0.01053199,1.006268441
style,492,0.013731893,333,0.013807688,1.005519586
hous,954,0.026626476,645,0.02674462,1.004437096
write,2954,0.08244718,1996,0.082763196,1.003832956
show,2043,0.057020849,1379,0.057179583,1.002783786
taho,363,0.010131458,245,0.010158809,1.002699649
check,898,0.025063496,605,0.025086039,1.000899429
sit,838,0.023388875,564,0.023385993,0.999876794
white,486,0.013564431,327,0.0135589,0.999592266
group,770,0.021490971,518,0.021478625,0.999425528
goe,883,0.024644841,594,0.024629929,0.999394937
help,1882,0.052527282,1266,0.052494091,0.999368118
earli,470,0.013117865,316,0.013102791,0.998850815
allow,439,0.012252645,295,0.012232035,0.998317995
follow,829,0.023137682,557,0.023095742,0.998187365
break,484,0.01350861,325,0.013475971,0.997583835
ago,1938,0.054090262,1301,0.05394535,0.997320917
front,389,0.010857127,261,0.010822242,0.996786872
enough,1765,0.049261771,1184,0.049094,0.996594294
anyth,3865,0.10787351,2592,0.107476054,0.996315536
cours,853,0.02380753,572,0.02371771,0.996227214
movi,4056,0.113204388,2718,0.112700585,0.995549617
made,1279,0.03569734,857,0.0355351,0.995455112
noth,1212,0.033827347,812,0.033669196,0.995324772
rais,2033,0.056741746,1360,0.056391757,0.993831902
turn,1182,0.032990036,790,0.032756976,0.992935455
real,1585,0.044237908,1059,0.043910934,0.992608745
except,752,0.020988585,502,0.020815193,0.991738744
minut,496,0.013843535,331,0.013724758,0.991420103
american,538,0.015015769,359,0.014885765,0.991342161
interest,5996,0.16735047,4001,0.165899573,0.991330187
come,3577,0.099835329,2385,0.098892897,0.990560137
eye,862,0.024058723,574,0.023800639,0.989272713
form,628,0.017527701,418,0.017332172,0.98884459
right,3661,0.102179798,2435,0.100966123,0.988122163
land,388,0.010829217,258,0.010697848,0.987869061
speak,980,0.027352145,651,0.026993407,0.986884474
perspect,393,0.010968768,261,0.010822242,0.986641459
three,908,0.0253426,603,0.02500311,0.98660399
sort,922,0.025733344,612,0.025376291,0.986124854
ride,1730,0.048284909,1148,0.047601277,0.98584171
fact,942,0.026291552,625,0.025915329,0.98569038
draw,496,0.013843535,329,0.013641829,0.985429649
fan,1327,0.037037037,880,0.036488784,0.985197164
sure,1484,0.041418962,984,0.040801095,0.985082494
decid,890,0.024840213,590,0.024464071,0.984857527
rare,590,0.016467108,391,0.01621263,0.984546311
done,1093,0.030506015,724,0.030020318,0.984078646
weird,644,0.017974267,426,0.017663889,0.982732085
bar,1423,0.039716431,941,0.03901812,0.982417584
middl,448,0.012503838,296,0.0122735,0.981578643
classic,498,0.013899355,329,0.013641829,0.981472101
theyr,456,0.01272712,301,0.012480823,0.980647796
everi,2809,0.078400179,1854,0.076875233,0.98054921
boston,476,0.013285328,314,0.013019862,0.980018105
hello,702,0.019593067,463,0.019198076,0.979840266
recent,2647,0.073878702,1745,0.0723556,0.979383749
whenev,443,0.012364286,292,0.012107642,0.97924312
though,3007,0.083926428,1982,0.082182693,0.979223045
backpack,478,0.013341148,315,0.013061326,0.979025629
ive,9005,0.251332719,5931,0.24592611,0.97848824
youll,789,0.022021268,519,0.02152009,0.977241177
answer,622,0.017360239,409,0.016958992,0.976886993
stay,2167,0.060481733,1423,0.059004022,0.975567654
treat,649,0.018113818,426,0.017663889,0.975160959
team,456,0.01272712,299,0.012397894,0.974131864
straight,487,0.013592341,319,0.013227184,0.973135073
whos,581,0.016215914,380,0.01575652,0.971670165
month,1291,0.036032264,844,0.034996061,0.971242343
howev,1017,0.028384828,664,0.027532446,0.969970509
talk,3278,0.091490134,2140,0.088734088,0.969876034
away,1280,0.03572525,835,0.03462288,0.969143103
music,7071,0.197354099,4611,0.191192934,0.968781169
free,1812,0.050573558,1181,0.048969607,0.968284786
box,545,0.015211142,355,0.014719907,0.9677056
job,2528,0.07055737,1646,0.068250612,0.967306631
lead,587,0.016383377,382,0.015839449,0.966800053
scene,469,0.013089955,305,0.012646681,0.966136301
view,689,0.019230232,448,0.018576108,0.965984584
ever,1709,0.047698791,1111,0.04606709,0.965791547
short,1310,0.036562561,851,0.035286313,0.965094117
deal,544,0.015183231,353,0.014636978,0.964022587
along,1697,0.047363867,1101,0.045652444,0.963866487
term,669,0.018672025,434,0.017995605,0.963773577
may,1699,0.047419688,1102,0.045693909,0.963606275
now,6335,0.17681208,4102,0.17008749,0.96196759
burn,400,0.011164141,259,0.010739313,0.961947071
final,658,0.018365012,426,0.017663889,0.961822892
occasion,973,0.027156772,629,0.026081188,0.960393493
usual,1970,0.054983393,1273,0.052784343,0.96000519
lol,644,0.017974267,416,0.017249243,0.959663257
certain,590,0.016467108,381,0.015797985,0.959366099
school,3427,0.095648776,2213,0.091760998,0.959353608
hour,937,0.026152,605,0.025086039,0.959239795
reason,993,0.027714979,641,0.026578762,0.959003483
late,956,0.026682296,617,0.025583613,0.958823513
grew,2370,0.066147534,1529,0.063399262,0.958452386
self,1285,0.035864802,829,0.034374093,0.958435313
isnt,845,0.023584247,545,0.022598167,0.958189036
wouldnt,540,0.01507159,348,0.014429655,0.957407638
desir,495,0.013815624,319,0.013227184,0.957407638
soon,689,0.019230232,444,0.01841025,0.957359722
fit,1253,0.034971671,807,0.033461873,0.956827982
busi,1812,0.050573558,1167,0.048389103,0.956806388
figur,1095,0.030561835,705,0.029232492,0.956503143
general,1801,0.050266544,1159,0.048057387,0.956051147
human,1006,0.028077814,647,0.026827549,0.955471426
anoth,1238,0.034553016,796,0.033005764,0.955220923
relat,740,0.02065366,475,0.01969565,0.953615483
around,5226,0.145859499,3353,0.139030559,0.953181384
spent,1497,0.041781797,959,0.039764481,0.951717841
physic,1206,0.033659884,772,0.032010615,0.951001925
call,1795,0.050099082,1148,0.047601277,0.950142706
unless,524,0.014625024,335,0.013890617,0.949784163
sever,623,0.017388149,398,0.016502882,0.949087884
caus,479,0.013369059,306,0.012688145,0.94906797
might,1661,0.046359095,1061,0.043993863,0.948980209
perhap,509,0.014206369,325,0.013475971,0.948586593
chicago,459,0.012810852,293,0.012149106,0.948344956
lost,563,0.015713528,359,0.014885765,0.947321638
last,2238,0.062463368,1427,0.05916988,0.947273296
least,1559,0.043512239,993,0.041174275,0.946268835
took,495,0.013815624,315,0.013061326,0.945402526
tell,2043,0.057020849,1300,0.053903885,0.945336419
better,2616,0.073013481,1662,0.068914044,0.943853702
head,1050,0.02930587,667,0.02765684,0.943730386
bad,1318,0.036785844,837,0.034705809,0.943455567
somewhat,611,0.017053225,388,0.016088237,0.943413136
mayb,1738,0.048508192,1103,0.045735373,0.942838143
grad,580,0.016188004,368,0.015258946,0.942608233
begin,474,0.013229507,300,0.012439358,0.94027376
state,985,0.027491697,623,0.0258324,0.939643729
actual,1640,0.045772977,1037,0.042998715,0.93939082
regular,693,0.019341874,438,0.018161463,0.938971217
rather,1606,0.044824025,1015,0.042086495,0.938927167
everyth,2486,0.069385135,1571,0.065140772,0.938828931
becom,1138,0.031761981,718,0.02977153,0.937332306
tall,501,0.013983086,316,0.013102791,0.937045675
pass,387,0.010801306,244,0.010117345,0.936677881
question,1131,0.031566608,712,0.029522743,0.935252316
end,1506,0.04203299,947,0.039266907,0.934192574
south,827,0.023081861,520,0.021561554,0.934134125
driven,630,0.017583522,396,0.016419953,0.933826169
develop,678,0.018923219,426,0.017663889,0.933450535
beer,1085,0.030282732,681,0.028237343,0.932456922
type,2032,0.056713835,1274,0.052825808,0.931444812
either,1022,0.02852438,640,0.026537297,0.930337404
career,1265,0.035306595,792,0.032839905,0.930135156
just,13866,0.38700494,8675,0.359704773,0.929457832
what,665,0.018560384,416,0.017249243,0.929358101
insid,440,0.012280555,275,0.011402745,0.928520338
bike,2576,0.071897067,1607,0.066633495,0.926790176
your,2131,0.05947696,1328,0.055064892,0.925818871
polit,1384,0.038627927,860,0.035659493,0.923153169
understand,1188,0.033157498,738,0.030600821,0.922892942
easi,2497,0.069692149,1551,0.064311482,0.922793781
probabl,2234,0.062351726,1387,0.057511299,0.922368995
depend,535,0.014932038,332,0.013766223,0.921925241
everyon,1368,0.038181361,848,0.035161919,0.920918418
sex,739,0.02062575,458,0.018990753,0.920730317
basic,781,0.021797985,484,0.020068831,0.920673688
back,5646,0.157581847,3496,0.144959987,0.919902828
colleg,2266,0.063244858,1403,0.058174732,0.919833387
san,5143,0.14354294,3184,0.132023054,0.919746065
francisco,4201,0.117251389,2600,0.10780777,0.919458369
alreadi,543,0.015155321,336,0.013932081,0.919286434
well,6034,0.168411064,3728,0.154579757,0.917871746
someth,4429,0.123614949,2734,0.113364017,0.917073689
point,1608,0.044879846,991,0.041091346,0.915585727
rememb,399,0.01113623,245,0.010158809,0.912230508
fine,660,0.018420832,405,0.016793133,0.91163815
move,6215,0.173462837,3813,0.158104242,0.911458871
less,935,0.026096179,573,0.023759174,0.910446467
work,12732,0.355354601,7779,0.322552556,0.907692078
let,3070,0.08568478,1873,0.077663059,0.906381026
use,2661,0.074269447,1616,0.067006676,0.902210517
discuss,483,0.0134807,293,0.012149106,0.901222225
anyway,571,0.015936811,346,0.014346726,0.900225673
particular,746,0.020821123,452,0.018741966,0.900141969
current,2215,0.06182143,1342,0.055645395,0.900098813
awesom,1574,0.043930894,953,0.039515694,0.899496704
put,1664,0.046442826,1007,0.041754779,0.899057674
given,491,0.013703983,297,0.012314965,0.898641273
nerdi,554,0.015462335,335,0.013890617,0.898351808
came,723,0.020179184,437,0.018119998,0.897954939
futur,675,0.018839488,407,0.016876063,0.895781399
whatev,962,0.026849759,580,0.024049426,0.895703611
idea,1465,0.040888666,881,0.036530248,0.893407692
youv,430,0.012001451,258,0.010697848,0.891379525
relax,1165,0.03251556,699,0.028983704,0.891379525
kinda,675,0.018839488,405,0.016793133,0.891379525
didnt,685,0.019118591,411,0.017041921,0.891379525
fire,404,0.011275782,242,0.010034416,0.889908602
goal,1049,0.029277959,628,0.026039723,0.889396793
ambiti,558,0.015573976,334,0.013849152,0.889249586
wrong,605,0.016885763,362,0.015010159,0.888923934
mountain,1065,0.029724525,637,0.026412904,0.888589605
instead,475,0.013257417,284,0.011775926,0.888251877
car,1226,0.034218091,733,0.030393498,0.888228918
rock,1478,0.0412515,883,0.036613177,0.887559901
ask,2157,0.060202629,1288,0.053406311,0.887109278
found,1092,0.030478104,651,0.026993407,0.885665554
simpli,422,0.011778169,251,0.010407596,0.883634521
top,607,0.016941584,361,0.014968694,0.883547525
rest,641,0.017890536,381,0.015797985,0.883035879
later,537,0.014987859,319,0.013227184,0.882526594
name,2242,0.062575009,1331,0.055189286,0.881970077
focus,755,0.021072316,448,0.018576108,0.881540899
second,582,0.016243825,345,0.014305262,0.880658465
film,976,0.027240504,578,0.023966497,0.879811075
line,737,0.020569929,436,0.018078534,0.878881666
play,7377,0.205894666,4364,0.180951196,0.878853248
act,564,0.015741438,333,0.013807688,0.877155384
toward,723,0.020179184,426,0.017663889,0.875351954
week,1421,0.03966061,837,0.034705809,0.875069977
coupl,1076,0.030031539,633,0.026247046,0.873982713
game,3402,0.094951017,2001,0.082970519,0.873824431
sinc,2223,0.062044712,1307,0.054194137,0.873469065
fish,446,0.012448017,262,0.010863706,0.872725843
site,1081,0.03017109,635,0.026329975,0.872688866
larg,540,0.01507159,317,0.013144255,0.872121325
updat,551,0.015378604,323,0.013393042,0.870888042
train,638,0.017806805,374,0.015507733,0.870888042
there,1329,0.037092858,779,0.032300867,0.870810948
kick,476,0.013285328,279,0.011568603,0.870780418
okcupid,611,0.017053225,358,0.014844301,0.870468821
attent,487,0.013592341,285,0.01181739,0.869415348
individu,566,0.015797259,331,0.013724758,0.86880631
guess,1469,0.041000307,858,0.035576564,0.867714582
door,454,0.0126713,265,0.0109881,0.867164369
across,581,0.016215914,339,0.014056475,0.866832068
bore,805,0.022467833,469,0.019446863,0.865542437
suppos,498,0.013899355,290,0.012024713,0.865127384
joke,1237,0.034525105,720,0.02985446,0.864717405
pick,545,0.015211142,317,0.013144255,0.864120212
exercis,622,0.017360239,361,0.014968694,0.862240108
start,2895,0.080800469,1679,0.069618941,0.861615557
profession,914,0.025510062,530,0.021976199,0.861471824
fuck,447,0.012475927,259,0.010739313,0.860802748
uniqu,523,0.014597114,303,0.012563752,0.860701071
typic,496,0.013843535,287,0.011900319,0.85963012
born,2437,0.068017528,1407,0.05834059,0.857728759
seem,1628,0.045438053,939,0.038935191,0.856885108
money,574,0.016020542,331,0.013724758,0.856697511
went,1514,0.042256273,871,0.036115603,0.85468028
worth,465,0.012978314,267,0.011071029,0.853040621
finish,690,0.019258143,396,0.016419953,0.852623893
that,2999,0.083703145,1718,0.071236058,0.851055921
profil,2145,0.059867705,1227,0.050876975,0.84982337
set,761,0.021239778,435,0.018037069,0.849211768
number,436,0.012168913,249,0.010324667,0.848446107
athlet,733,0.020458288,416,0.017249243,0.84314207
graduat,1229,0.034301823,697,0.028900775,0.842543435
send,529,0.014764576,300,0.012439358,0.842513729
tenni,696,0.019425605,394,0.016337024,0.841004628
got,2318,0.064696196,1310,0.054318531,0.839593887
smoke,456,0.01272712,257,0.010656383,0.837297288
club,784,0.021881716,440,0.018244392,0.833773365
ill,3182,0.08881074,1785,0.074014181,0.833392233
comedi,542,0.015127411,304,0.012605216,0.833269913
seen,470,0.013117865,262,0.010863706,0.828161119
histori,668,0.018644115,371,0.01538334,0.825104301
design,1238,0.034553016,684,0.028361737,0.820817979
summari,597,0.01666248,326,0.013517436,0.811249931
stuff,1957,0.054620559,1066,0.044201186,0.809240822
degre,924,0.025789165,503,0.020856657,0.808737195
climb,1104,0.030813029,597,0.024754323,0.803371945
main,557,0.015546066,299,0.012397894,0.79749395
nice,2769,0.077283765,1482,0.061450429,0.795127276
boy,844,0.023556337,451,0.018700502,0.793862886
sail,484,0.01350861,258,0.010697848,0.79192809
nerd,1078,0.030087359,573,0.023759174,0.789672956
yeah,518,0.014457562,270,0.011195422,0.774364452
manag,636,0.017750984,328,0.013600365,0.766175273
success,708,0.019760529,365,0.015134552,0.765898132
project,674,0.018811577,347,0.014388191,0.764858297
problem,669,0.018672025,344,0.014263797,0.763912697
normal,549,0.015322783,282,0.011692997,0.763111797
gym,785,0.021909626,401,0.016627275,0.758902738
hey,837,0.023360965,424,0.017580959,0.752578492
compani,1642,0.045828798,828,0.034332628,0.749149662
soccer,641,0.017890536,321,0.013310113,0.74397511
internet,608,0.016969494,303,0.012563752,0.740372796
berkeley,847,0.023640068,420,0.017415101,0.736677293
build,1074,0.029975718,530,0.021976199,0.733133377
sport,2887,0.080577186,1419,0.058838164,0.730208721
shit,520,0.014513383,255,0.010573454,0.728531342
cool,1612,0.044991487,783,0.032466725,0.72161928
chanc,746,0.020821123,359,0.014885765,0.714935767
univers,736,0.020542019,353,0.014636978,0.712538434
chill,894,0.024951855,421,0.017456566,0.699609955
band,665,0.018560384,310,0.012854003,0.692550508
laid,1396,0.038962851,640,0.026537297,0.681092283
surf,709,0.01978844,325,0.013475971,0.681002223
hobbi,803,0.022412013,365,0.015134552,0.675287519
scienc,1124,0.031371236,496,0.020566405,0.65558162
snowboard,886,0.024728572,385,0.015963843,0.645562673
hit,924,0.025789165,385,0.015963843,0.619013559
geek,893,0.024923944,353,0.014636978,0.587265719
women,1392,0.03885121,544,0.022556703,0.580592028
video,1164,0.03248765,412,0.017083385,0.525842446
guitar,963,0.026877669,292,0.012107642,0.450472172
guy,6887,0.192218594,1743,0.072272671,0.375992089
comput,1146,0.031985263,282,0.011692997,0.3655745